id,pneumatron_id,start_datetime,end_datetime,pneumatron_file
1,128,2024-04-23T07:16:10Z,2024-05-03T13:16:38Z,inst/extdata/database_example.csv
2,129,2024-04-23T07:12:52Z,2024-05-03T13:16:13Z,inst/extdata/database_example.csv
3,130,2024-04-23T08:05:26Z,2024-05-03T13:16:16Z,inst/extdata/database_example.csv
4,131,2024-04-23T07:23:59Z,2024-05-03T13:16:35Z,inst/extdata/database_example.csv
5,132,2024-04-23T07:26:38Z,2024-05-03T13:16:18Z,inst/extdata/database_example.csv
6,133,2024-04-23T07:46:23Z,2024-05-03T13:16:40Z,inst/extdata/database_example.csv
7,134,2024-04-23T07:55:28Z,2024-05-03T13:16:20Z,inst/extdata/database_example.csv
8,135,2024-04-23T08:03:01Z,2024-05-03T13:16:23Z,inst/extdata/database_example.csv
9,136,2024-04-23T08:09:51Z,2024-05-03T13:16:26Z,inst/extdata/database_example.csv
10,138,2024-04-23T08:09:53Z,2024-05-03T13:16:28Z,inst/extdata/database_example.csv
